Date	Price	Open	High	Low	Vol.	Change %
2019-06-30	1395.05	1412.50	1412.50	1387.50	-	-0.02
2019-06-28	1425.10	1424.40	1439.10	1420.10	8.76K	0.00
2019-06-27	1423.40	1423.60	1426.00	1412.70	7.37K	0.00
2019-06-26	1426.80	1438.00	1438.00	1416.40	7.75K	0.00
2019-06-25	1430.10	1433.20	1453.70	1427.00	13.67K	0.00
2019-06-24	1429.50	1414.70	1435.90	1414.70	8.80K	0.01
2019-06-21	1411.20	1403.50	1425.50	1398.00	10.98K	0.00
2019-06-20	1408.30	1375.20	1408.90	1373.30	15.31K	0.04
2019-06-19	1360.10	1361.40	1377.60	1356.50	6.19K	0.00
2019-06-18	1362.10	1354.70	1369.60	1353.70	5.91K	0.01
2019-06-17	1354.20	1357.10	1358.20	1348.20	4.80K	0.00
2019-06-14	1355.90	1357.60	1373.60	1352.80	8.50K	0.00
2019-06-13	1355.10	1349.00	1358.00	1347.60	6.18K	0.01
2019-06-12	1348.20	1342.30	1353.60	1341.50	10.48K	0.00
2019-06-11	1342.70	1343.50	1344.70	1335.10	6.58K	0.00
2019-06-10	1340.70	1351.40	1353.00	1340.30	7.98K	-0.01
2019-06-07	1357.40	1351.40	1363.80	1345.80	6.87K	0.00
2019-06-06	1354.00	1348.00	1355.30	1343.50	2.92K	0.01
2019-06-05	1344.90	1341.00	1360.10	1341.00	6.83K	0.00
2019-06-04	1340.10	1340.90	1345.20	1336.10	3.87K	0.00
2019-06-03	1339.30	1323.10	1344.10	1322.70	5.51K	0.01
2019-05-31	1322.60	1304.40	1323.00	1304.20	7.20K	0.01
2019-05-30	1304.10	1296.20	1305.20	1290.80	2.12K	0.00
2019-05-29	1297.90	1295.90	1302.00	1295.90	7.41K	0.00
2019-05-28	1294.30	1301.80	1304.00	1292.90	9.02K	0.01
2019-05-27	1284.95	1284.25	1286.85	1283.25	-	0.00
2019-05-26	1284.15	1284.20	1285.15	1283.65	-	-0.01
2019-05-24	1301.00	1300.40	1302.00	1297.40	3.32K	0.00
2019-05-23	1302.70	1290.20	1304.20	1289.90	6.98K	0.01
2019-05-22	1291.40	1291.20	1293.70	1289.20	11.47K	0.00
2019-05-21	1290.40	1293.70	1293.80	1286.30	4.54K	0.00
2019-05-20	1294.60	1294.70	1295.80	1291.10	5.62K	0.00
2019-05-17	1293.00	1304.10	1305.90	1292.00	4.35K	-0.01
2019-05-16	1303.50	1314.50	1316.20	1301.90	5.25K	-0.01
2019-05-15	1315.10	1315.00	1318.70	1310.80	4.38K	0.00
2019-05-14	1313.60	1318.70	1321.70	1312.00	5.46K	0.00
2019-05-13	1319.50	1306.00	1319.80	1300.30	6.73K	0.01
2019-05-10	1305.30	1303.20	1308.00	1302.00	3.12K	0.00
2019-05-09	1303.20	1300.50	1307.00	1298.60	5.94K	0.00
2019-05-08	1299.50	1303.50	1310.20	1298.40	2.88K	0.00
2019-05-07	1303.60	1300.70	1305.30	1297.20	3.77K	0.00
2019-05-06	1301.80	1302.00	1305.00	1296.30	2.34K	0.00
2019-05-03	1299.20	1289.60	1301.70	1288.50	1.93K	0.01
2019-05-02	1289.90	1297.00	1297.20	1285.10	3.05K	-0.01
2019-05-01	1302.20	1302.30	1307.00	1292.90	2.49K	0.00
2019-04-30	1303.60	1299.80	1305.90	1299.60	2.06K	0.00
2019-04-29	1299.40	1306.40	1306.40	1298.00	1.29K	-0.01
2019-04-26	1306.80	1298.00	1308.70	1296.90	2.05K	0.01
2019-04-25	1297.70	1294.20	1302.50	1293.50	1.42K	0.00
2019-04-24	1297.40	1290.30	1298.40	1289.10	1.30K	0.00
